ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAEDAAECAwAAAAAAAMCSQA==
ASSERTION	AAECAAMEAAAAAAAAQFhA
RUN	dp2.TestPerformanceCreateAndDelete	testperformancecreateanddelete	1590233841902	 	3.3.1
USER	TestPerformanceDeleteDisease	62	START	1590233843618	1590233843618
USER	TestPerformanceCreateDisease	1	START	1590233843602	1590233843602
USER	TestPerformanceCreateDisease	2	START	1590233843648	1590233843648
USER	TestPerformanceCreateDisease	3	START	1590233843684	1590233843684
USER	TestPerformanceCreateDisease	4	START	1590233843715	1590233843715
USER	TestPerformanceCreateDisease	5	START	1590233843757	1590233843757
USER	TestPerformanceCreateDisease	6	START	1590233843784	1590233843784
USER	TestPerformanceCreateDisease	7	START	1590233843815	1590233843815
USER	TestPerformanceCreateDisease	8	START	1590233843857	1590233843857
USER	TestPerformanceCreateDisease	9	START	1590233843887	1590233843887
USER	TestPerformanceCreateDisease	10	START	1590233843914	1590233843914
USER	TestPerformanceCreateDisease	11	START	1590233843958	1590233843958
USER	TestPerformanceCreateDisease	12	START	1590233843984	1590233843984
USER	TestPerformanceCreateDisease	13	START	1590233844014	1590233844014
USER	TestPerformanceCreateDisease	14	START	1590233844056	1590233844056
USER	TestPerformanceCreateDisease	15	START	1590233844088	1590233844088
USER	TestPerformanceCreateDisease	16	START	1590233844114	1590233844114
USER	TestPerformanceCreateDisease	17	START	1590233844155	1590233844155
USER	TestPerformanceCreateDisease	18	START	1590233844186	1590233844186
USER	TestPerformanceCreateDisease	19	START	1590233844218	1590233844218
USER	TestPerformanceCreateDisease	20	START	1590233844254	1590233844254
USER	TestPerformanceCreateDisease	21	START	1590233844285	1590233844285
USER	TestPerformanceCreateDisease	22	START	1590233844316	1590233844316
USER	TestPerformanceCreateDisease	23	START	1590233844358	1590233844358
USER	TestPerformanceCreateDisease	24	START	1590233844389	1590233844389
USER	TestPerformanceCreateDisease	25	START	1590233844414	1590233844414
USER	TestPerformanceCreateDisease	26	START	1590233844456	1590233844456
USER	TestPerformanceCreateDisease	27	START	1590233844488	1590233844488
USER	TestPerformanceCreateDisease	28	START	1590233844514	1590233844514
USER	TestPerformanceCreateDisease	29	START	1590233844565	1590233844565
USER	TestPerformanceCreateDisease	30	START	1590233844596	1590233844596
USER	TestPerformanceCreateDisease	31	START	1590233844627	1590233844627
USER	TestPerformanceCreateDisease	32	START	1590233844664	1590233844664
USER	TestPerformanceCreateDisease	33	START	1590233844694	1590233844694
USER	TestPerformanceCreateDisease	34	START	1590233844726	1590233844726
USER	TestPerformanceCreateDisease	35	START	1590233844768	1590233844768
USER	TestPerformanceCreateDisease	36	START	1590233844794	1590233844794
USER	TestPerformanceCreateDisease	37	START	1590233844824	1590233844824
USER	TestPerformanceCreateDisease	38	START	1590233844867	1590233844867
USER	TestPerformanceCreateDisease	39	START	1590233844894	1590233844894
USER	TestPerformanceCreateDisease	40	START	1590233844924	1590233844924
USER	TestPerformanceCreateDisease	41	START	1590233844967	1590233844967
USER	TestPerformanceCreateDisease	42	START	1590233844998	1590233844998
USER	TestPerformanceCreateDisease	43	START	1590233845024	1590233845024
USER	TestPerformanceCreateDisease	44	START	1590233845066	1590233845066
USER	TestPerformanceCreateDisease	45	START	1590233845099	1590233845099
USER	TestPerformanceCreateDisease	46	START	1590233845124	1590233845124
USER	TestPerformanceCreateDisease	47	START	1590233845168	1590233845168
REQUEST	8		Home	1590233843857	1590233845159	OK	 
REQUEST	1		Home	1590233843640	1590233845159	OK	 
REQUEST	40		Home	1590233844925	1590233845159	OK	 
REQUEST	17		Home	1590233844156	1590233845159	OK	 
REQUEST	35		Home	1590233844769	1590233845159	OK	 
REQUEST	39		Home	1590233844894	1590233845163	OK	 
REQUEST	38		Home	1590233844867	1590233845158	OK	 
REQUEST	30		Home	1590233844597	1590233845159	OK	 
REQUEST	28		Home	1590233844514	1590233845159	OK	 
REQUEST	45		Home	1590233845100	1590233845159	OK	 
REQUEST	31		Home	1590233844628	1590233845159	OK	 
REQUEST	24		Home	1590233844389	1590233845159	OK	 
REQUEST	22		Home	1590233844317	1590233845158	OK	 
REQUEST	9		Home	1590233843888	1590233845159	OK	 
REQUEST	10		Home	1590233843914	1590233845159	OK	 
REQUEST	37		Home	1590233844825	1590233845158	OK	 
REQUEST	43		Home	1590233845024	1590233845159	OK	 
REQUEST	23		Home	1590233844359	1590233845165	OK	 
REQUEST	12		Home	1590233843985	1590233845158	OK	 
REQUEST	27		Home	1590233844489	1590233845159	OK	 
REQUEST	42		Home	1590233844999	1590233845159	OK	 
REQUEST	44		Home	1590233845067	1590233845159	OK	 
